Liga	Gosp	Gosc	Frek
ESA	Wis³a P³ock	Lechia Gdañsk	6889
ESA	Pogoñ Szczecin	Wis³a Kraków	8289
ESA	Cracovia	Piast Gliwice	8109
ESA	Górnik Zabrze	Legia Warszawa	22708
ESA	Arka Gdynia	Œl¹sk Wroc³aw	10083
ESA	Bruk-Bet	Jagiellonia	3977
ESA	Lech Poznañ	Sandecja	18667
ESA	Korona Kielce	Zag³êbie Lubin	6463
ESA	Sandecja	Arka Gdynia	2646
ESA	Wis³a Kraków	Bruk-Bet	11811
ESA	Piast Gliwice	Pogoñ Szczecin	4555
ESA	Lechia Gdañsk	Cracovia	15624
ESA	Legia Warszawa	Korona Kielce	15041
ESA	Wis³a P³ock	Lech Poznañ	6511
ESA	Jagiellonia	Górnik Zabrze	11236
ESA	Zag³êbie Lubin	Œl¹sk Wroc³aw	8251
ESA	Bruk-Bet	Zag³êbie Lubin	3105
ESA	Œl¹sk Wroc³aw	Lechia Gdañsk	13495
ESA	Legia Warszawa	Sandecja	14393
ESA	Górnik Zabrze	Wis³a Kraków	22708
ESA	Arka Gdynia	Wis³a P³ock	8142
ESA	Pogoñ Szczecin	Jagiellonia	8356
ESA	Lech Poznañ	Piast Gliwice	13783
ESA	Korona Kielce	Cracovia	8270
ESA	Piast Gliwice	Œl¹sk Wroc³aw	4274
ESA	Wis³a P³ock	Wis³a Kraków	5001
ESA	Lechia Gdañsk	Górnik Zabrze	14567
ESA	Zag³êbie Lubin	Pogoñ Szczecin	6089
ESA	Bruk-Bet	Legia Warszawa	4561
ESA	Jagiellonia	Sandecja	11399
ESA	Cracovia	Lech Poznañ	9114
ESA	Arka Gdynia	Korona Kielce	7932
ESA	Legia Warszawa	Piast Gliwice	13708
ESA	Sandecja	Wis³a P³ock	2070
ESA	Lech Poznañ	Zag³êbie Lubin	15121
ESA	Wis³a Kraków	Cracovia	25523
ESA	Górnik Zabrze	Arka Gdynia	22708
ESA	Korona Kielce	Jagiellonia	9460
ESA	Pogoñ Szczecin	Lechia Gdañsk	8320
ESA	Œl¹sk Wroc³aw	Bruk-Bet	11050
ESA	Lechia Gdañsk	Sandecja	11019
ESA	Cracovia	Górnik Zabrze	8346
ESA	Arka Gdynia	Pogoñ Szczecin	9074
ESA	Piast Gliwice	Korona Kielce	4879
ESA	Jagiellonia	Œl¹sk Wroc³aw	10437
ESA	Wis³a P³ock	Legia Warszawa	9718
ESA	Bruk-Bet	Lech Poznañ	4381
ESA	Zag³êbie Lubin	Wis³a Kraków	8081
ESA	Górnik Zabrze	Wis³a P³ock	20054
ESA	Œl¹sk Wroc³aw	Cracovia	8967
ESA	Korona Kielce	Bruk-Bet	6475
ESA	Jagiellonia	Piast Gliwice	10658
